NID,Title,URL,Organization,Product,Issue,"What you should do",Category,"Recall class","Last updated",Archived
82323,"Boon PIVOT Toddler Tower Kids Kitchen Step Stool recalled due to tip-over hazard ",https://recalls-rappels.canada.ca/en/alert-recall/boon-pivot-toddler-tower-kids-kitchen-step-stool-recalled-due-tip-over-hazard,"Consumer product safety","Boon PIVOT Toddler Tower Kids Kitchen Step Stool ","Tip-over hazard","Consumers should immediately stop using the recalled product and contact TOMY International, Inc. for a repair kit.For more information, consumers can contact TOMY Consumer Care Team by telephone at 1-866-725-4407 between 8:00 a.m. and 4:00 p.m. CT Monday through Friday, by email at cs@tomy.com or visit the company website.Joint recall with Health Canada, the United States Consumer Product Safety Commission (US CPSC) and TOMY International, Inc.&nbsp;Please note that the Canada Consumer Product Safety Act prohibits recalled products from being redistributed, sold or even given away in Canada.Health Canada would like to remind consumers to report any health or safety incidents related to the use of this product or any other consumer product or cosmetic by filling out the Consumer Product Incident Report Form.This recall is also posted on the OECD Global Portal on Product Recalls website. You can visit this site for more information on other international consumer product recalls.","Furniture and furnishings",,2026-07-16,0
82331,"Solar™ GI",https://recalls-rappels.canada.ca/en/alert-recall/solartm-gi,"Medical devices","Solar™ GI",Performance,,"Gastroenterology and urology","Type II",2026-07-16,0
82332,"Cardiac Workstation",https://recalls-rappels.canada.ca/en/alert-recall/cardiac-workstation,"Medical devices","Cardiac Workstation",Performance,,Cardiovascular,"Type II",2026-07-16,0
82333,"Philips Allura Xper FD series",https://recalls-rappels.canada.ca/en/alert-recall/philips-allura-xper-fd-series,"Medical devices","Philips Allura Xper FD series",Performance,,Radiology,"Type II",2026-07-16,0
82335,"StrykeFlow PS and AHTO",https://recalls-rappels.canada.ca/en/alert-recall/strykeflow-ps-and-ahto,"Medical devices","StrykeFlow PS and AHTO",Performance,,"General and plastic surgery - Gastroenterology and urology - General hospital and personal use","Type II",2026-07-16,0
82336,"SEMA 3",https://recalls-rappels.canada.ca/en/alert-recall/sema-3,"Medical devices","SEMA 3","Device compatibility",,"General hospital and personal use","Type II",2026-07-16,0
82349,"V-Loc™ 90 and 180 Suture Products ",https://recalls-rappels.canada.ca/en/alert-recall/v-loctm-90-and-180-suture-products,"Medical devices","V-Loc™ 90 and 180 Suture Products ",Sterility,,Orthopaedics,"Type II",2026-07-16,0
82371,"Transport Canada Recall - 2026324 - NISSAN",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026324-nissan,TC,"Car recalled by NISSAN","Seats And Restraints",,Car,,2026-07-16,0
82324,"Supernova and Supreme Nicotine Film and Pouches Recall; No market authorization",https://recalls-rappels.canada.ca/en/alert-recall/supernova-and-supreme-nicotine-film-and-pouches-recall-no-market-authorization,"Drugs and health products","Supernova and Supreme Nicotine Film and Pouches","Unauthorized product","Only use authorized nicotine replacement therapies as directed.Do not buy or use unauthorized nicotine replacement therapies. If you become aware of any unusual symptoms or side effects that may be associated with these products, contact your healthcare provider.Contact the recalling firm if you have any questions about the recall.Report any health product&nbsp;related&nbsp;side effects&nbsp;to Health Canada.Report any other health product safety&nbsp;complaints&nbsp;to&nbsp;Health Canada.","Drugs - Natural health products","Type II",2026-07-15,0
82328,"CTP - Tubing sets",https://recalls-rappels.canada.ca/en/alert-recall/ctp-tubing-sets,"Medical devices","CTP - Tubing sets",Sterility,,"Cardiovascular - General hospital and personal use","Type II",2026-07-15,0
82329,"Presource ®Kits containing Teleflex Pilling® Wecksorb Neurosponge",https://recalls-rappels.canada.ca/en/alert-recall/presource-rkits-containing-teleflex-pillingr-wecksorb-neurosponge,"Medical devices","Presource ®Kits containing Teleflex Pilling® Wecksorb Neurosponge",Performance,,"General hospital and personal use","Type II",2026-07-15,0
82330,"Leoni Plus",https://recalls-rappels.canada.ca/en/alert-recall/leoni-plus,"Medical devices","Leoni Plus",Performance,,Anaesthesiology,"Type II",2026-07-15,0
82337,"Heavenly Spices brand Garlic Powder recalled due to Bacillus cereus ",https://recalls-rappels.canada.ca/en/alert-recall/heavenly-spices-brand-garlic-powder-recalled-due-bacillus-cereus,CFIA,"Garlic Powder",Other,,"Herbs and spices","Class 2",2026-07-15,0
82356,"Transport Canada Recall - 2026333 - PACCAR",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026333-paccar,TC,"Truck - Med. & H.D. recalled by PACCAR",Brakes,,"Truck - Med. & H.D.",,2026-07-15,0
82360,"Transport Canada Recall - 2026319 - FORD",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026319-ford,TC,"Car recalled by FORD","Visual System",,Car,,2026-07-15,0
82361,"Transport Canada Recall - 2026320 - FIAT CHRYSLER AUTOMOBILES",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026320-fiat-chrysler-automobiles,TC,"Light Truck & Van recalled by FIAT CHRYSLER AUTOMOBILES","Lights And Instruments",,"Light Truck & Van",,2026-07-15,0
82362,"Transport Canada Recall - 2026321 - BMW",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026321-bmw,TC,"Car recalled by BMW",Brakes,,"SUV - Car",,2026-07-15,0
82363,"Transport Canada Recall - 2026322 - JAYCO",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026322-jayco,TC,"RV Trailer recalled by JAYCO",Electrical,,"RV Trailer",,2026-07-15,0
82364,"Transport Canada Recall - 2026323 - JAYCO",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026323-jayco,TC,"RV Trailer recalled by JAYCO",Electrical,,"RV Trailer",,2026-07-15,0
82365,"Transport Canada Recall - 2026335 - VOLVO TRUCKS",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026335-volvo-trucks,TC,"Truck - Med. & H.D. recalled by VOLVO TRUCKS",Steering,,"Truck - Med. & H.D.",,2026-07-15,0
82366,"Transport Canada Recall - 2026337 - HYUNDAI",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026337-hyundai,TC,"SUV recalled by HYUNDAI","Seats And Restraints",,SUV,,2026-07-15,0
82319,"Health Canada warns that BABESIDE Doll and Stroller Set previously available on Amazon.ca may pose a risk of choking",https://recalls-rappels.canada.ca/en/alert-recall/health-canada-warns-babeside-doll-and-stroller-set-previously-available-amazonca-may,"Consumer product safety","BABESIDE Doll and Stroller Toys","Choking hazard","Consumers who have this affected product should immediately stop using it and safely dispose of the items in such a way that they cannot be used again.&nbsp;Regularly check the&nbsp;Healthy Canadians Recalls and Safety Alerts database&nbsp;for dangerous products and take action to remove items of concern.Health Canada would like to remind consumers to report any health or safety incidents related to the use of these products or any other consumer product or cosmetic by filling out the&nbsp;Consumer Product Incident Report Form.&nbsp;Related linksBuying consumer products onlineOnline consumer product guidesStay connected with Health Canada and receive the latest advisories and product recalls using&nbsp;social media&nbsp;tools.","Toys and games",,2026-07-14,0
82348,"Transport Canada Recall - 2026327 - KIA",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026327-kia,TC,"SUV recalled by KIA",Electrical,,SUV,,2026-07-14,0
82355,"Transport Canada Recall - 2026332 - BMW",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026332-bmw,TC,"Car recalled by BMW",Electrical,,Car,,2026-07-14,0
82357,"Transport Canada Recall - 2026334 - FOREST RIVER",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026334-forest-river,TC,"RV Trailer recalled by FOREST RIVER",Label,,"RV Trailer",,2026-07-14,0
82358,"Transport Canada Recall - 2026336 - GRAND DESIGN RV",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026336-grand-design-rv,TC,"Motorhome recalled by GRAND DESIGN RV",Electrical,,Motorhome,,2026-07-14,0
82325,"Apo-Tiotropium Capsules; Out-of-specification (particle size)",https://recalls-rappels.canada.ca/en/alert-recall/apo-tiotropium-capsules-out-specification-particle-size,"Drugs and health products","Apo-Tiotropium 18 mcg Capsules","Product quality","Verify if your product is affected.Consult your healthcare provider prior to discontinuing use of the affected product(s), or for any health concerns.Contact the recalling firm if you have any questions about the recall.Report any health product&nbsp;related&nbsp;side effects&nbsp;to Health Canada.Report any other health product safety&nbsp;complaints&nbsp;to&nbsp;Health Canada.",Drugs,"Type II",2026-07-13,0
82326,"Oribe Serene Scalp Densifying Shampoo; Presence of bacterial contamination",https://recalls-rappels.canada.ca/en/alert-recall/oribe-serene-scalp-densifying-shampoo-presence-bacterial-contamination,"Drugs and health products","Oribe Serene Scalp Densifying Shampoo","Product quality","Verify if your product is affected.Consult your healthcare provider prior to discontinuing use of the affected product(s), or for any health concerns.Contact the recalling firm if you have any questions about the recall.Report any health product&nbsp;related&nbsp;side effects&nbsp;to Health Canada.Report any other health product safety&nbsp;complaints&nbsp;to&nbsp;Health Canada.","Natural health products","Type II",2026-07-13,0
82327,"BD ChloraPrep™ Clear - 1mL Applicator: Product sterility",https://recalls-rappels.canada.ca/en/alert-recall/bd-chlorapreptm-clear-1ml-applicator-product-sterility,"Drugs and health products","BD ChloraPrep™ Clear - 1mL Applicator","Product quality","Verify if your product is affected.Consult your healthcare provider prior to discontinuing use of the affected product(s), or for any health concerns.Contact the recalling firm if you have any questions about the recall.Report any health product&nbsp;related&nbsp;side effects&nbsp;to Health Canada.Report any other health product safety&nbsp;complaints&nbsp;to&nbsp;Health Canada.",Drugs,"Type II",2026-07-13,0
82338,"Transport Canada Recall - 2026291 - FORD",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026291-ford,TC,"SUV recalled by FORD",Structure,,SUV,,2026-07-13,0
82339,"Transport Canada Recall - 2026308 - HYUNDAI",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026308-hyundai,TC,"SUV recalled by HYUNDAI","Lights And Instruments",,SUV,,2026-07-13,0
82340,"Transport Canada Recall - 2026310 - FORD",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026310-ford,TC,"SUV recalled by FORD",Accessories,,SUV,,2026-07-13,0
82341,"Transport Canada Recall - 2026311 - FORD",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026311-ford,TC,"SUV recalled by FORD",Powertrain,,"SUV - Light Truck & Van",,2026-07-13,0
82342,"Transport Canada Recall - 2026312 - DAIMLER TRUCK NORTH AMERICA",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026312-daimler-truck-north-america,TC,"School Bus recalled by DAIMLER TRUCK NORTH AMERICA",Structure,,"School Bus",,2026-07-13,0
82343,"Transport Canada Recall - 2026313 - KTM",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026313-ktm,TC,"Motorcycle recalled by KTM",Brakes,,"Competition Vehicle - Motorcycle",,2026-07-13,0
82344,"Transport Canada Recall - 2026315 - FIAT CHRYSLER AUTOMOBILES",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026315-fiat-chrysler-automobiles,TC,"SUV recalled by FIAT CHRYSLER AUTOMOBILES","Lights And Instruments",,SUV,,2026-07-13,0
82345,"Transport Canada Recall - 2026316 - FIAT CHRYSLER AUTOMOBILES",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026316-fiat-chrysler-automobiles,TC,"SUV recalled by FIAT CHRYSLER AUTOMOBILES",Brakes,,SUV,,2026-07-13,0
82346,"Transport Canada Recall - 2026317 - FORD",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026317-ford,TC,"SUV recalled by FORD",Powertrain,,SUV,,2026-07-13,0
82303,"Charcuterie Charlevoisienne and Joe Smoked Meat brand meat products recalled due to Listeria monocytogenes",https://recalls-rappels.canada.ca/en/alert-recall/charcuterie-charlevoisienne-and-joe-smoked-meat-brand-meat-products-recalled-due,CFIA,"Meat products",Listeria,"If you think you became sick from consuming a recalled product, contact your healthcare providerCheck to see if you have recalled productsDo not consume, serve, use, sell, or distribute recalled productsRecalled products should be thrown out or returned to the location where they were purchasedFood contaminated with Listeria monocytogenes may not look or smell spoiled but can still make you sick. Symptoms can include vomiting, nausea, persistent fever, muscle aches, severe headache and neck stiffness. Pregnant women, the elderly and people with weakened immune systems are particularly at risk. Although infected pregnant women may experience only mild, flu-like symptoms, the infection can lead to premature delivery, infection of the newborn or even stillbirth. In severe cases of illness, people may die.Learn more:Learn more about the health risksSign up for recall notifications by email and follow us on social mediaView our detailed explanation of the food safety investigation and recall processReport a food safety or labelling concern",Processed,"Class 1",2026-07-10,0
